realtime_start,realtime_end,date,value
2026-09-18,2026-09-18,1954-01-01,0.0007
2026-09-18,2026-09-18,1954-02-01,0.0007
2026-09-18,2026-09-18,1954-03-01,0.0007
2026-09-18,2026-09-18,1954-04-01,0.0007
2026-09-18,2026-09-18,1954-05-01,0.0007
2026-09-18,2026-09-18,1954-06-01,0.0007
2026-09-18,2026-09-18,1954-07-01,0.0007
2026-09-18,2026-09-18,1954-08-01,0.0008
2026-09-18,2026-09-18,1954-09-01,0.0008
2026-09-18,2026-09-18,1954-10-01,0.0008
2026-09-18,2026-09-18,1954-11-01,0.0008
2026-09-18,2026-09-18,1954-12-01,0.0008
2026-09-18,2026-09-18,1955-01-01,0.0008
2026-09-18,2026-09-18,1955-02-01,0.0008
2026-09-18,2026-09-18,1955-03-01,0.0008
2026-09-18,2026-09-18,1955-04-01,0.0008
2026-09-18,2026-09-18,1955-05-01,0.0007
2026-09-18,2026-09-18,1955-06-01,0.0007
2026-09-18,2026-09-18,1955-07-01,0.0007
2026-09-18,2026-09-18,1955-08-01,0.0008
2026-09-18,2026-09-18,1955-09-01,0.0008
2026-09-18,2026-09-18,1955-10-01,0.0009
2026-09-18,2026-09-18,1955-11-01,0.0009
2026-09-18,2026-09-18,1955-12-01,0.0009
2026-09-18,2026-09-18,1956-01-01,0.0009
2026-09-18,2026-09-18,1956-02-01,0.0009
2026-09-18,2026-09-18,1956-03-01,0.0009
2026-09-18,2026-09-18,1956-04-01,0.001
2026-09-18,2026-09-18,1956-05-01,0.001
2026-09-18,2026-09-18,1956-06-01,0.001
2026-09-18,2026-09-18,1956-07-01,0.001
2026-09-18,2026-09-18,1956-08-01,0.001
2026-09-18,2026-09-18,1956-09-01,0.001
2026-09-18,2026-09-18,1956-10-01,0.001
2026-09-18,2026-09-18,1956-11-01,0.0011
2026-09-18,2026-09-18,1956-12-01,0.0011
2026-09-18,2026-09-18,1957-01-01,0.0011
2026-09-18,2026-09-18,1957-02-01,0.0011
2026-09-18,2026-09-18,1957-03-01,0.0011
2026-09-18,2026-09-18,1957-04-01,0.0011
2026-09-18,2026-09-18,1957-05-01,0.0012
2026-09-18,2026-09-18,1957-06-01,0.0012
2026-09-18,2026-09-18,1957-07-01,0.0012
