date,inventory_usd,company
2009-09-03,987000000,Micron Technology
2009-12-03,1037000000,Micron Technology
2010-09-02,1770000000,Micron Technology
2010-12-02,1892000000,Micron Technology
2011-03-03,1957000000,Micron Technology
2011-06-02,2068000000,Micron Technology
2011-09-01,2080000000,Micron Technology
2011-12-01,2097000000,Micron Technology
2012-03-01,2081000000,Micron Technology
2012-05-31,1894000000,Micron Technology
2012-08-30,1812000000,Micron Technology
2012-11-29,1831000000,Micron Technology
2013-02-28,1721000000,Micron Technology
2013-05-30,1732000000,Micron Technology
2013-08-29,2649000000,Micron Technology
2013-11-28,2459000000,Micron Technology
2014-02-27,2462000000,Micron Technology
2014-05-29,2532000000,Micron Technology
2014-08-28,2455000000,Micron Technology
2014-12-04,2448000000,Micron Technology
2015-03-05,2377000000,Micron Technology
2015-06-04,2381000000,Micron Technology
2015-09-03,2340000000,Micron Technology
2015-12-03,2435000000,Micron Technology
2016-03-03,2608000000,Micron Technology
2016-06-02,2920000000,Micron Technology
2016-09-01,2889000000,Micron Technology
2016-12-01,2750000000,Micron Technology
2017-03-02,3000000000,Micron Technology
2017-06-01,3064000000,Micron Technology
2017-08-31,3123000000,Micron Technology
2017-11-30,3160000000,Micron Technology
2018-03-01,3184000000,Micron Technology
2018-05-31,3369000000,Micron Technology
2018-08-30,3595000000,Micron Technology
2018-08-31,3590000000,Micron Technology
2018-11-29,3876000000,Micron Technology
2019-02-28,4390000000,Micron Technology
2019-05-30,4905000000,Micron Technology
2019-08-29,5118000000,Micron Technology
2019-11-28,4943000000,Micron Technology
2020-02-27,5208000000,Micron Technology
2020-05-28,5405000000,Micron Technology
2020-09-03,5373000000,Micron Technology
2020-12-03,5521000000,Micron Technology
2021-03-04,4743000000,Micron Technology
2021-06-03,4537000000,Micron Technology
2021-09-02,4487000000,Micron Technology
2021-12-02,4827000000,Micron Technology
2022-03-03,5383000000,Micron Technology
2022-06-02,5629000000,Micron Technology
2022-09-01,6663000000,Micron Technology
2022-12-01,8359000000,Micron Technology
2023-03-02,8129000000,Micron Technology
2023-06-01,8238000000,Micron Technology
2023-08-31,8387000000,Micron Technology
2023-11-30,8276000000,Micron Technology
2024-02-29,8443000000,Micron Technology
2024-05-30,8512000000,Micron Technology
2024-08-29,8875000000,Micron Technology
2024-11-28,8705000000,Micron Technology
2025-02-27,9007000000,Micron Technology
2025-05-29,8727000000,Micron Technology
2025-08-28,8355000000,Micron Technology
2025-11-27,8205000000,Micron Technology
2026-02-26,8267000000,Micron Technology
2026-05-28,8567000000,Micron Technology
2008-12-31,1375000000,Texas Instruments
2009-06-30,1063000000,Texas Instruments
2009-09-30,1116000000,Texas Instruments
2009-12-31,1202000000,Texas Instruments
2010-03-31,1276000000,Texas Instruments
2010-09-30,1424000000,Texas Instruments
2010-12-31,1520000000,Texas Instruments
2011-03-31,1678000000,Texas Instruments
2011-06-30,1762000000,Texas Instruments
2011-09-30,1965000000,Texas Instruments
2011-12-31,1788000000,Texas Instruments
2012-03-31,1853000000,Texas Instruments
2012-06-30,1885000000,Texas Instruments
2012-09-30,1848000000,Texas Instruments
2012-12-31,1757000000,Texas Instruments
2013-03-31,1700000000,Texas Instruments
2013-06-30,1720000000,Texas Instruments
2013-09-30,1726000000,Texas Instruments
2013-12-31,1731000000,Texas Instruments
2014-03-31,1714000000,Texas Instruments
2014-06-30,1744000000,Texas Instruments
2014-09-30,1751000000,Texas Instruments
2014-12-31,1784000000,Texas Instruments
2015-03-31,1844000000,Texas Instruments
2015-06-30,1885000000,Texas Instruments
2015-09-30,1771000000,Texas Instruments
2015-12-31,1691000000,Texas Instruments
2016-03-31,1805000000,Texas Instruments
2016-06-30,1876000000,Texas Instruments
2016-09-30,1808000000,Texas Instruments
2016-12-31,1790000000,Texas Instruments
2017-03-31,1843000000,Texas Instruments
2017-06-30,1947000000,Texas Instruments
2017-09-30,1908000000,Texas Instruments
2017-12-31,1957000000,Texas Instruments
2018-03-31,2032000000,Texas Instruments
2018-06-30,2090000000,Texas Instruments
2018-09-30,2116000000,Texas Instruments
2018-12-31,2217000000,Texas Instruments
2019-03-31,2131000000,Texas Instruments
2019-06-30,2079000000,Texas Instruments
2019-09-30,2040000000,Texas Instruments
2019-12-31,2001000000,Texas Instruments
2020-03-31,2003000000,Texas Instruments
2020-06-30,2136000000,Texas Instruments
2020-09-30,2072000000,Texas Instruments
2020-12-31,1955000000,Texas Instruments
2021-03-31,1890000000,Texas Instruments
2021-06-30,1856000000,Texas Instruments
2021-09-30,1863000000,Texas Instruments
2021-12-31,1910000000,Texas Instruments
2022-03-31,2060000000,Texas Instruments
2022-06-30,2199000000,Texas Instruments
2022-09-30,2404000000,Texas Instruments
2022-12-31,2757000000,Texas Instruments
2023-03-31,3288000000,Texas Instruments
2023-06-30,3729000000,Texas Instruments
2023-09-30,3908000000,Texas Instruments
2023-12-31,3999000000,Texas Instruments
2024-03-31,4083000000,Texas Instruments
2024-06-30,4106000000,Texas Instruments
2024-09-30,4296000000,Texas Instruments
2024-12-31,4527000000,Texas Instruments
2025-03-31,4687000000,Texas Instruments
2025-06-30,4812000000,Texas Instruments
2025-09-30,4829000000,Texas Instruments
2025-12-31,4804000000,Texas Instruments
2026-03-31,4695000000,Texas Instruments
2026-06-30,4605000000,Texas Instruments
2008-11-01,314629000,Analog Devices
2009-08-01,276072000,Analog Devices
2009-10-31,253161000,Analog Devices
2010-01-30,243275000,Analog Devices
2010-05-01,247662000,Analog Devices
2010-07-31,265266000,Analog Devices
2010-10-30,277478000,Analog Devices
2011-01-29,282980000,Analog Devices
2011-04-30,293780000,Analog Devices
2011-07-30,299332000,Analog Devices
2011-10-29,295081000,Analog Devices
2012-02-04,297160000,Analog Devices
2012-05-05,303742000,Analog Devices
2012-08-04,312079000,Analog Devices
2012-11-03,313723000,Analog Devices
2013-02-02,307263000,Analog Devices
2013-05-04,298967000,Analog Devices
2013-08-03,284342000,Analog Devices
2013-11-02,283337000,Analog Devices
2014-02-01,289935000,Analog Devices
2014-05-03,298432000,Analog Devices
2014-08-02,415098000,Analog Devices
2014-11-01,367927000,Analog Devices
2015-01-31,367238000,Analog Devices
2015-05-02,394494000,Analog Devices
2015-08-01,424475000,Analog Devices
2015-10-31,412314000,Analog Devices
2016-01-30,404852000,Analog Devices
2016-04-30,399459000,Analog Devices
2016-07-30,392303000,Analog Devices
2016-10-29,376555000,Analog Devices
2017-01-28,365586000,Analog Devices
2017-04-29,647858000,Analog Devices
2017-07-29,519695000,Analog Devices
2017-10-28,550816000,Analog Devices
2018-02-03,559720000,Analog Devices
2018-05-05,551220000,Analog Devices
2018-08-04,563645000,Analog Devices
2018-11-03,586760000,Analog Devices
2019-02-02,593211000,Analog Devices
2019-05-04,608085000,Analog Devices
2019-08-03,638305000,Analog Devices
2019-11-02,609886000,Analog Devices
2020-02-01,588503000,Analog Devices
2020-05-02,590268000,Analog Devices
2020-08-01,612646000,Analog Devices
2020-10-31,608260000,Analog Devices
2021-01-30,618640000,Analog Devices
2021-05-01,641202000,Analog Devices
2021-07-31,657520000,Analog Devices
2021-10-30,1200610000,Analog Devices
2022-01-29,972571000,Analog Devices
2022-04-30,1075297000,Analog Devices
2022-07-30,1203394000,Analog Devices
2022-10-29,1399914000,Analog Devices
2023-01-28,1522942000,Analog Devices
2023-04-29,1648136000,Analog Devices
2023-07-29,1709313000,Analog Devices
2023-10-28,1642214000,Analog Devices
2024-02-03,1553221000,Analog Devices
2024-05-04,1479081000,Analog Devices
2024-08-03,1427936000,Analog Devices
2024-11-02,1447687000,Analog Devices
2025-02-01,1474656000,Analog Devices
2025-05-03,1524897000,Analog Devices
2025-08-02,1596853000,Analog Devices
2025-11-01,1656323000,Analog Devices
2026-01-31,1767104000,Analog Devices
2026-05-02,1848405000,Analog Devices
2026-08-01,1931496000,Analog Devices
2009-03-31,131510000,Microchip Technology
2009-09-30,108451000,Microchip Technology
2009-12-31,112784000,Microchip Technology
2010-03-31,116579000,Microchip Technology
2010-06-30,128129000,Microchip Technology
2010-09-30,166569000,Microchip Technology
2010-12-31,177705000,Microchip Technology
2011-03-31,180800000,Microchip Technology
2011-06-30,202455000,Microchip Technology
2011-09-30,211206000,Microchip Technology
2011-12-31,217853000,Microchip Technology
2012-03-31,217278000,Microchip Technology
2012-06-30,221481000,Microchip Technology
2012-09-30,289526000,Microchip Technology
2012-12-31,261594000,Microchip Technology
2013-03-31,242334000,Microchip Technology
2013-06-30,256136000,Microchip Technology
2013-09-30,275124000,Microchip Technology
2013-12-31,274629000,Microchip Technology
2014-03-31,262725000,Microchip Technology
2014-06-30,264505000,Microchip Technology
2014-09-30,275746000,Microchip Technology
2014-12-31,276143000,Microchip Technology
2015-03-31,279456000,Microchip Technology
2015-06-30,303690000,Microchip Technology
2015-09-30,363760000,Microchip Technology
2015-12-31,319524000,Microchip Technology
2016-03-31,306815000,Microchip Technology
2016-06-30,518431000,Microchip Technology
2016-09-30,424690000,Microchip Technology
2016-12-31,419618000,Microchip Technology
2017-03-31,417200000,Microchip Technology
2017-06-30,426843000,Microchip Technology
2017-09-30,456939000,Microchip Technology
2017-12-31,487065000,Microchip Technology
2018-03-31,476200000,Microchip Technology
2018-04-01,471100000,Microchip Technology
2018-06-30,1104800000,Microchip Technology
2018-09-30,836700000,Microchip Technology
2018-12-31,702500000,Microchip Technology
2019-03-31,711700000,Microchip Technology
2019-06-30,733100000,Microchip Technology
