date,inventory_usd
2009-09-03,987000000
2009-12-03,1037000000
2010-09-02,1770000000
2010-12-02,1892000000
2011-03-03,1957000000
2011-06-02,2068000000
2011-09-01,2080000000
2011-12-01,2097000000
2012-03-01,2081000000
2012-05-31,1894000000
2012-08-30,1812000000
2012-11-29,1831000000
2013-02-28,1721000000
2013-05-30,1732000000
2013-08-29,2649000000
2013-11-28,2459000000
2014-02-27,2462000000
2014-05-29,2532000000
2014-08-28,2455000000
2014-12-04,2448000000
2015-03-05,2377000000
2015-06-04,2381000000
2015-09-03,2340000000
2015-12-03,2435000000
2016-03-03,2608000000
2016-06-02,2920000000
2016-09-01,2889000000
2016-12-01,2750000000
2017-03-02,3000000000
2017-06-01,3064000000
2017-08-31,3123000000
2017-11-30,3160000000
2018-03-01,3184000000
2018-05-31,3369000000
2018-08-30,3595000000
2018-08-31,3590000000
2018-11-29,3876000000
2019-02-28,4390000000
2019-05-30,4905000000
2019-08-29,5118000000
2019-11-28,4943000000
2020-02-27,5208000000
2020-05-28,5405000000
2020-09-03,5373000000
2020-12-03,5521000000
2021-03-04,4743000000
2021-06-03,4537000000
2021-09-02,4487000000
2021-12-02,4827000000
2022-03-03,5383000000
2022-06-02,5629000000
2022-09-01,6663000000
2022-12-01,8359000000
2023-03-02,8129000000
2023-06-01,8238000000
2023-08-31,8387000000
2023-11-30,8276000000
2024-02-29,8443000000
2024-05-30,8512000000
2024-08-29,8875000000
2024-11-28,8705000000
2025-02-27,9007000000
2025-05-29,8727000000
2025-08-28,8355000000
2025-11-27,8205000000
2026-02-26,8267000000
2026-05-28,8567000000
